"main_category";"total_projects";"avg_goal";"avg_pledged";"category_goal_achievement_pct";"success_rate_pct"
"Dance";2912;9393.58;3637.09;38.72;64.66
"Theater";8051;27399.22;4281.28;15.63;60.65
"Comics";7365;25236.09;7054.03;27.95;52.29
"Music";41007;15152.66;3954.77;26.1;50.99
"Art";19552;27259.89;3156.1;11.58;42.35
"Film & Video";48465;70579.02;6587.71;9.33;38.48
"Games";20372;54489.86;23938.11;43.93;37.23
"Design";18071;47584.52;25726.72;54.07;35.18
"Photography";7371;12860.15;3335.52;25.94;31.53
"Publishing";28083;27861.18;3130.96;11.24;30.65
"Food";17449;37558.7;5526.91;14.72;27.31
"Crafts";5566;11184.53;1690.79;15.12;24.74
"Fashion";13924;24146.05;6041.49;25.02;24.5
"Journalism";3079;112116.32;2852.39;2.54;22.99
"Technology";17889;107603.75;24523.41;22.79;22.47
